input,output
"In which chapter of the Moroccan customs tariff is the HS code 2903510020 (1,3,3,3-tetrafluoropropene) located?",Chapter 29: Organic Chemicals
"Is 1,3,3,3-tetrafluoropropene (HFO1234ze) classified as a halogenated derivative of an acyclic hydrocarbon or a saturated chlorinated derivative of an acyclic hydrocarbon in Moroccan customs tariff?",It may or may not be classified as a halogenated derivative of an acyclic hydrocarbon or a saturated chlorinated derivative of an acyclic hydrocarbon
"What is the first level of classification for 1,3,3,3-tetrafluoropropene (HFO1234ze) in Moroccan customs tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for Z1,1,1,4,4,4hexafluoro-2butene (HFO1336mzz)?",2903510030
Which chapter in the Moroccan Customs does the HS code 2903510030 belong to?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2903510030 represent in customs tariff classification?,"Halogenated derivatives of hydrocarbons, specifically saturated chlorinated derivatives of acyclic hydrocarbons"
"What is the first level of classification for Z1,1,1,4,4,4hexafluoro-2butene (HFO1336mzz) in customs tariff?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for Other brominated or iodized derivatives of acyclic hydrocarbons?,HS:2903590000
Which chapter in the Moroccan customs tariff does the HS code HS:2903590000 belong to?,Chapter 29: Organic chemicals
What type of halogenated hydrocarbon derivatives are represented by the HS code HS:2903590000 in Moroccan customs tariff classification?,Other brominated or iodized derivatives of acyclic hydrocarbons
What is the first level of classification for Other brominated or iodized derivatives of acyclic hydrocarbons in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What is the HS code for Bromomethane (Bromure de méthyle) in Moroccan Customs?,HS:2903610000
Does the HS code 'HS:2903610000' fall under the category of Halogenated derivatives of hydrocarbons in Moroccan Customs?,"Yes, it does"
Is the HS code 'HS:2903610000' included in Saturated chlorinated derivatives of acyclic hydrocarbons under chapter 29 in Moroccan Customs?,"No, it is not"
What chapter does the HS code 'HS:2903610000' belong to in Moroccan Customs?,Chapter 29: Organic Chemicals
"What is the specific HS code for Dibromide dethylene (ISO) (1,2-dibromoethane)?",2903620000
Which chapter in the customs tariff classification does the HS code 2903620000 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2903620000 in customs tariff classification?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
"What is the first level of classification for Dibromide dethylene (ISO) (1,2-dibromoethane) in customs tariff?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for Chlorodifluoromethane?,HS:2903710000
Is Chlorodifluoromethane included in Halogenated derivatives of hydrocarbons and Saturated chlorinated derivatives of acyclic hydrocarbons?,"Yes, Chlorodifluoromethane is included in both Halogenated derivatives of hydrocarbons and Saturated chlorinated derivatives of acyclic hydrocarbons."
In which chapter of the Moroccan customs tariff is Chlorodifluoromethane (HS:2903710000) classified?,Chlorodifluoromethane (HS:2903710000) is located in Chapter 29: Organic chemicals in the Moroccan customs tariff.
What is the first level of classification for Chlorodifluoromethane (HS:2903710000) in the Moroccan customs tariff?,The first level of classification for Chlorodifluoromethane (HS:2903710000) is 29 - Chapter 29: Organic chemicals.
What is the specific HS code for Dichlorotrifluoroethanes?,HS:2903720000
Which chapter in the Moroccan customs tariff does the HS code HS:2903720000 belong to?,Chapter 29: Organic chemicals
What type of organic chemicals are represented by the HS code HS:2903720000 in Moroccan customs tariff classification?,Dichlorotrifluoroethanes
What is the first level of classification for Dichlorotrifluoroethanes in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
"Is Dichlorofluoroethanes included in the category of 'Halogenated derivatives of hydrocarbons, Chlorinated saturated derivatives of acyclic hydrocarbons' under Chapter 29 of the Moroccan Customs Tariff?",Yes
What is the full HS code for Dichlorofluoroethanes in the Moroccan Customs Tariff?,HS:2903730000
Which subcategory of halogenated derivatives does Dichlorofluoroethanes fall under in the Moroccan Customs Tariff?,Chlorinated saturated derivatives of acyclic hydrocarbons
What is the first level of classification for Dichlorofluoroethanes in the Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What specific HS code is assigned to Chlorodifluoroethanes in the Moroccan Customs Tariff?,HS:2903740000
Which chapter in the Moroccan Customs Tariff does the HS code 2903740000 belong to?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2903740000 represent in the Moroccan Customs Tariff?,Chlorodifluoroethanes
What is the first level of classification for Chlorodifluoroethanes in the Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Dichloropentafluoropropanes?,2903750000
Which chapter in the Moroccan Customs Tariff does the HS code 2903750000 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2903750000 in Moroccan Customs Tariff classification?,Dichloropentafluoropropanes
What is the first level of classification for Dichloropentafluoropropanes in Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for bromochlorodifluoromethane in the Moroccan customs tariff?,HS:2903760010
In which chapter of the Moroccan customs tariff is bromochlorodifluoromethane (HS code 2903760010) classified?,Chapter 29: Organic Chemicals
What is the category of HS code 2903760010 in Moroccan customs tariff?,Halogenated derivatives of hydrocarbons / Chlorinated saturated acyclic hydrocarbons
Is bromochlorodifluoromethane (HS code 2903760010) included in the category of Halogenated derivatives of hydrocarbons in Moroccan customs tariff?,"Yes, it is included"
What is the specific HS code for bromotrifluoromethane in the Moroccan customs tariff?,HS:2903760020
Which chapter in the Moroccan customs tariff does the HS code 2903760020 belong to?,Chapter 29: Organic chemicals
Is bromotrifluoromethane included in the category of Halogenated derivatives of hydrocarbons and Saturated chlorinated derivatives of acyclic hydrocarbons according to the HS code 2903760020?,"Yes, bromotrifluoromethane is included in the category of Halogenated derivatives of hydrocarbons and Saturated chlorinated derivatives of acyclic hydrocarbons according to the HS code 2903760020"
What is the first level of classification for bromotrifluoromethane in the Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What is the specific HS code for dibromotetrafluoroethanes in Moroccan customs tariff classification?,HS:2903760090
Which chapter does the HS code HS:2903760090 belong to in Moroccan customs tariff classification?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code HS:2903760090 in Moroccan customs tariff classification?,Dibromotetrafluoroethanes
Are dibromotetrafluoroethanes classified as halogenated hydrocarbons or saturated chlorinated hydrocarbons of acyclic in Moroccan customs tariff classification?,Dibromotetrafluoroethanes may or may not be classified as halogenated hydrocarbons or saturated chlorinated hydrocarbons of acyclic in Moroccan customs tariff classification.
What is the specific HS code for trichlorofluoromethane?,2903770011
Which chapter in the Moroccan Customs Tariff does the HS code 2903770011 belong to?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code 2903770011 represent in Moroccan Customs Tariff?,"Halogenated derivatives of hydrocarbons, Chlorinated saturated derivatives of acyclic hydrocarbons"
What is the first level of classification for trichlorofluoromethane (HS 2903770011) in Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
"Is dichlorodifluoroethane included in the category of 'Halogenated derivatives of hydrocarbons, Chlorinated saturated acyclic hydrocarbons'?",Yes
In which chapter of the Moroccan customs tariff is the HS code 'HS:2903770012' (dichlorodifluoroethane) located?,Chapter 29: Organic Chemicals
What is the specific HS code for dichlorodifluoroethane in the Moroccan customs tariff?,HS:2903770012
Which subcategory of organic chemicals does the HS code 'HS:2903770012' (dichlorodifluoroethane) fall under in the Moroccan customs tariff?,Chlorinated saturated acyclic hydrocarbons - Heading 2903
What is the specific HS code for Trichlorotrifluoroethanes?,2903770013
Which chapter in the customs tariff classification does the HS code 2903770013 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2903770013 in customs tariff classification?,Trichlorotrifluoroethanes
Are Trichlorotrifluoroethanes included in the category of Halogenated derivatives of hydrocarbons and Chlorinated saturated derivatives of acyclic hydrocarbons?,"Yes, Trichlorotrifluoroethanes are included in both categories"
What is the HS code for dichlorotetrafluoroethanes in the Moroccan customs tariff?,HS:2903770014
In which chapter of the Moroccan customs tariff is the HS code for dichlorotetrafluoroethanes located?,Chapter 29: Organic Chemicals
What type of organic chemicals do the dichlorotetrafluoroethanes belong to in the Moroccan customs tariff?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
What is the first level of classification for dichlorotetrafluoroethanes in the Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for chloropentafluoroethane in the Moroccan customs tariff system?,HS:2903770015
Which chapter does the HS code HS:2903770015 for chloropentafluoroethane belong to in the Moroccan customs tariff system?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code HS:2903770015 represent in the Moroccan customs tariff system?,"Halogenated hydrocarbons, specifically saturated chlorinated hydrocarbons of acyclic compounds"
What is the first level of classification for chloropentafluoroethane (HS:2903770015) in the Moroccan customs tariff system?,29 - Chapter 29: Organic Chemicals
Does the HS code HS:2903770020 include halogenated hydrocarbons?,"Yes, the HS code HS:2903770020 includes halogenated hydrocarbons."
Which chapter in the Moroccan customs tariff classification does the HS code HS:2903770020 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code HS:2903770020 in Moroccan customs tariff classification?,Halogenated hydrocarbons and saturated chlorinated hydrocarbons of acyclic.
What is the first level of classification for halogenated hydrocarbons in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What is the HS code for pentachlorofluoroethane in Morocco's customs?,HS:2903770031
Is pentachlorofluoroethane included in the category of halogenated hydrocarbons?,"Yes, it is included in the category of halogenated hydrocarbons"
What chapter does the HS code HS:2903770031 belong to in Morocco's customs?,Chapter 29: Organic Chemicals
What is the category of the HS code HS:2903770031 in Morocco's customs?,Chlorinated saturated hydrocarbons
What is the specific HS code for tetrachlorodifluoroethane?,HS2903770032
Which chapter in the Moroccan customs tariff does the HS code HS2903770032 belong to?,Chapter 29: Organic Chemicals
Is tetrachlorodifluoroethane included in Halogenated derivatives of hydrocarbons and Saturated chlorinated derivatives of acyclic hydrocarbons according to the HS code HS2903770032?,"Yes, tetrachlorodifluoroethane is included in both Halogenated derivatives of hydrocarbons and Saturated chlorinated derivatives of acyclic hydrocarbons according to the HS code HS2903770032"
